time,duty,rpm
13.171,-0.249,-14230
13.223,-0.249,-14195
13.276,-0.249,-14092
13.328,-0.249,-13930
13.38,-0.25,-13721
13.432,-0.25,-13507
13.483,-0.249,-13302
13.536,-0.249,-13126
13.587,-0.249,-12972
13.639,-0.249,-12851
13.691,-0.249,-12782
13.743,-0.249,-12774
13.795,-0.249,-12823
13.847,-0.249,-12897
13.899,-0.25,-13017
13.95,-0.249,-13166
14.002,-0.249,-13323
14.054,-0.249,-13482
14.106,-0.249,-13623
14.158,-0.249,-13723
14.209,-0.249,-13797
14.261,-0.249,-13869
14.313,-0.249,-13935
14.365,-0.249,-13986
14.417,-0.25,-13994
14.469,-0.249,-13950
14.52,-0.25,-13845
14.572,-0.249,-13685
14.624,-0.249,-13496
14.675,-0.249,-13303
14.727,-0.249,-13120
14.779,-0.25,-12952
0.022,0.0,0
0.073,0.0,0
0.125,0.0,0
0.176,0.0,0
0.228,0.0,0
0.279,0.0,0
0.331,0.0,0
0.382,0.0,0
0.434,0.0,0
0.485,0.0,0
0.539,-0.01,0
0.59,-0.019,0
0.642,-0.03,-285
0.693,-0.04,-260
0.795,-0.06,-1011
0.846,-0.07,-2537
0.897,-0.079,-3811
0.949,-0.09,-4862
1.0,-0.099,-5859
1.051,-0.109,-6811
1.102,-0.12,-7753
1.154,-0.13,-8687
1.205,-0.14,-9619
1.256,-0.15,-10543
1.307,-0.159,-11484
1.359,-0.17,-12426
1.41,-0.18,-13364
1.461,-0.189,-14277
1.512,-0.199,-15157
1.564,-0.199,-15933
1.615,-0.199,-16459
1.666,-0.2,-16727
1.718,-0.199,-16858
1.769,-0.2,-16915
1.82,-0.199,-16963
1.871,-0.199,-16994
1.923,-0.199,-17025
1.974,-0.199,-17043
2.025,-0.199,-17073
2.077,-0.199,-17092
2.128,-0.199,-17107
2.179,-0.199,-17104
2.231,-0.199,-17104
2.282,-0.199,-17112
2.333,-0.2,-17108
2.384,-0.199,-17102
2.436,-0.199,-17083
2.487,-0.199,-17050
2.538,-0.199,-17023
2.59,-0.199,-16988
2.641,-0.199,-16983
2.692,-0.199,-16966
2.744,-0.2,-16977
2.796,-0.199,-16989
2.848,-0.199,-17016
2.899,-0.199,-17042
2.951,-0.199,-17066
3.003,-0.199,-17087
3.055,-0.199,-17099
3.107,-0.199,-17105
3.158,-0.199,-17111
3.211,-0.199,-17102
3.263,-0.199,-17096
3.316,-0.199,-17101
3.367,-0.199,-17089
3.419,-0.199,-17074
3.471,-0.199,-17043
3.523,-0.199,-17008
3.575,-0.199,-16987
3.627,-0.199,-16967
3.68,-0.199,-16965
3.731,-0.199,-16965
3.784,-0.199,-16995
3.835,-0.199,-17014
3.887,-0.199,-17044
3.939,-0.2,-17060
3.991,-0.199,-17082
4.043,-0.199,-17086
4.094,-0.199,-17092
4.146,-0.199,-17088
4.198,-0.199,-17092
4.25,-0.199,-17091
4.301,-0.199,-17081
4.353,-0.199,-17071
4.405,-0.199,-17042
4.457,-0.199,-17015
4.508,-0.199,-16973
4.56,-0.199,-16954
4.612,-0.199,-16947
4.664,-0.199,-16943
4.716,-0.199,-16962
4.768,-0.199,-16977
4.819,-0.199,-17007
4.871,-0.199,-17042
4.923,-0.199,-17067
4.975,-0.199,-17080
5.027,-0.199,-17084
5.078,-0.199,-17086
5.13,-0.199,-17086
5.182,-0.199,-17080
5.233,-0.199,-17084
5.285,-0.199,-17083
5.337,-0.199,-17066
5.389,-0.199,-17048
5.44,-0.199,-17008
5.492,-0.199,-16989
5.544,-0.199,-16973
5.596,-0.199,-16967
5.648,-0.199,-16975
5.7,-0.199,-16987
5.753,-0.199,-17007
5.805,-0.199,-17032
5.857,-0.199,-17057
5.91,-0.199,-17082
5.962,-0.2,-17087
6.014,-0.199,-17092
6.065,-0.199,-17086
6.117,-0.199,-17085
6.169,-0.199,-17095
6.221,-0.199,-17087
6.272,-0.199,-17077
6.324,-0.199,-17042
6.376,-0.199,-17007
6.428,-0.199,-16980
6.48,-0.199,-16957
6.531,-0.199,-16961
6.584,-0.199,-16943
6.636,-0.199,-16955
6.688,-0.2,-16971
6.74,-0.199,-17006
6.791,-0.199,-17035
6.844,-0.199,-17062
6.947,-0.199,-17094
6.998,-0.2,-17096
7.05,-0.199,-17087
7.102,-0.199,-17078
7.154,-0.2,-17071
7.206,-0.2,-17071
7.257,-0.199,-17051
7.31,-0.199,-17030
7.362,-0.199,-16991
7.414,-0.199,-16969
7.465,-0.199,-16965
7.517,-0.199,-16962
7.569,-0.199,-16980
7.62,-0.199,-16979
7.672,-0.199,-17006
7.724,-0.199,-17025
7.776,-0.199,-17053
7.828,-0.199,-17063
7.88,-0.199,-17071
7.933,-0.199,-17079
7.985,-0.199,-17087
8.036,-0.199,-17084
8.089,-0.199,-17088
8.141,-0.199,-17085
8.193,-0.199,-17067
8.245,-0.199,-17041
8.296,-0.199,-17006
8.349,-0.199,-16985
8.401,-0.199,-16958
8.453,-0.199,-16948
8.505,-0.199,-16936
8.557,-0.199,-16945
8.609,-0.199,-16979
8.661,-0.199,-17010
8.713,-0.199,-17037
8.765,-0.199,-17062
8.817,-0.199,-17072
8.869,-0.199,-17079
8.921,-0.199,-17081
8.974,-0.199,-17070
9.026,-0.199,-17067
9.078,-0.199,-17059
9.13,-0.199,-17070
9.182,-0.199,-17057
9.233,-0.199,-17030
9.285,-0.199,-17005
9.337,-0.199,-16983
9.389,-0.199,-16992
9.442,-0.199,-16975
9.494,-0.199,-16977
9.546,-0.199,-16970
9.598,-0.199,-16996
